latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
34.43,-118.643,300.8,0.4,0.4,2016-02-16,0945,N,VIIRS,n,1.0,288.1,0,N
34.29,-118.802,296.6,0.4,0.5,2016-02-28,0915,N,VIIRS,n,1.0NRT,282.2,0,N
34.321,-118.513,300.4,0.4,0.5,2016-02-28,0915,N,VIIRS,n,1.0NRT,285.9,0,N
34.334,-118.519,303.6,0.4,0.5,2016-02-28,0915,N,VIIRS,n,1.0NRT,285.6,0,N
34.291,-118.803,303.3,0.4,0.4,2016-02-22,0930,N,VIIRS,n,1.0NRT,281.6,0,N
34.333,-118.521,304.4,0.4,0.4,2016-02-22,0930,N,VIIRS,n,1.0NRT,282.4,0,N
34.337,-118.52,301.9,0.4,0.4,2016-02-22,0930,N,VIIRS,n,1.0NRT,283.7,0,N
34.32,-118.51,302.9,0.4,0.4,2016-02-21,0950,N,VIIRS,n,1.0NRT,280.7,0,N
34.336,-118.52,314.4,0.4,0.4,2016-02-21,0950,N,VIIRS,n,1.0NRT,281.8,0,N
34.431,-118.645,295.6,0.4,0.4,2016-02-21,0950,N,VIIRS,n,1.0NRT,278.2,0,N
34.819,-118.75,295.1,0.4,0.4,2016-02-21,0950,N,VIIRS,n,1.0NRT,278.4,0,N
34.927,-120.398,341.9,0.4,0.4,2016-02-27,2055,N,VIIRS,n,1.0NRT,300.4,0,D
34.291,-118.802,305,0.4,0.4,2016-02-27,0935,N,VIIRS,n,1.0NRT,282.7,0,N
34.319,-118.514,304.8,0.4,0.4,2016-02-27,0935,N,VIIRS,n,1.0NRT,287,0,N
34.335,-118.521,306.6,0.4,0.4,2016-02-27,0935,N,VIIRS,n,1.0NRT,285.6,0,N
34.318,-118.511,296.8,0.5,0.5,2016-02-23,0910,N,VIIRS,n,1.0NRT,285.9,0,N
34.275,-119.31,299.1,0.5,0.5,2016-02-25,1015,N,VIIRS,n,1.0NRT,285,0,N
34.291,-118.804,296.5,0.5,0.5,2016-02-25,1015,N,VIIRS,n,1.0NRT,283.4,0,N
34.321,-118.513,298.2,0.5,0.5,2016-02-25,1015,N,VIIRS,n,1.0NRT,283.6,0,N
34.291,-118.802,298.7,0.4,0.4,2016-02-26,0955,N,VIIRS,n,1.0NRT,282.6,0,N
34.32,-118.51,303.1,0.4,0.4,2016-02-26,0955,N,VIIRS,n,1.0NRT,283.9,0,N
34.337,-118.521,296.9,0.4,0.4,2016-02-26,0955,N,VIIRS,n,1.0NRT,284.5,0,N
35.251,-119.579,295.7,0.4,0.4,2016-02-26,0955,N,VIIRS,n,1.0NRT,284.8,0,N
34.891,-120.528,328.2,0.6,0.7,2016-03-01,2000,N,VIIRS,n,1.0NRT,296.8,0,D
